Country name,Das Total number of publications (1985–2005),Das Total number of publications in first-tier journals (1985–2005),Das Total number of publications in second-tier journals (1985–2005),Porteous All Journals,Porteous Top 200,Porteous Devel.,Porteous Top 5
Canada,4151,86,123,,,,
United States,"36,649",2383,1468,,,,
American Samoa,0,0,0,,,,
Australia,1806,8,28,,,,
Brunei,1,0,0,,,,
Cambodia,9,0,0,,,,
China,1807,65,18,,,,
Cook Islands,0,0,0,,,,
Fiji,15,0,0,,,,
French Polynesia,0,0,0,,,,
Guam,1,0,0,,,,
"Hong Kong, China",190,1,5,,,,
Indonesia,682,10,9,,,,
Japan,2209,57,84,,,,
Kiribati,1,0,0,,,,
"Korea, Dem. Rep.",0,0,0,,,,
"Korea, Rep.",0,0,0,,,,
Lao PDR,7,0,0,,,,
"Macao, China",0,0,0,,,,
Malaysia,169,0,1,,,,
Marshall Islands,0,0,0,,,,
"Micronesia, Fed. Sts.",0,0,0,,,,
Mongolia,12,0,0,,,,
Myanmar,2,0,0,,,,
Nauru,0,0,0,,,,
New Caledonia,0,0,0,,,,
New Zealand,271,1,6,,,,
Niue,0,0,0,,,,
Northern Mariana Islands,0,0,0,,,,
Palau,0,0,0,,,,
Papua New Guinea,33,0,0,,,,
Philippines,262,2,5,,,,
Samoa,1,0,0,,,,
Singapore,124,0,1,,,,
Solomon Islands,2,0,0,,,,
Taiwan Province of China,411,3,7,,,,
Thailand,167,4,3,,,,
Timor-Leste,2,0,0,,,,
Tonga,3,0,0,,,,
Tuvalu,0,0,0,,,,
Vanuatu,1,0,0,,,,
Vietnam,84,1,0,,,,
Albania,28,0,2,,,,
Andorra,0,0,0,,,,
Armenia,9,0,0,,,,
Austria,181,3,10,,,,
Azerbaijan,3,0,0,,,,
Belarus,28,1,1,,,,
Belgium,246,4,26,,,,
Bosnia and Herzegovina,7,0,1,,,,
Bulgaria,120,1,3,,,,
Croatia,21,0,0,,,,
Cyprus,27,0,0,,,,
Czech Republic,631,6,9,,,,
Denmark,574,2,11,,,,
Estonia,47,0,0,,,,
Faeroe Islands,0,0,0,,,,
Finland,270,0,5,,,,
France,898,40,77,,,,
Georgia,26,0,0,,,,
Germany,2085,35,128,,,,
Greece,402,0,10,,,,
Greenland,0,0,0,,,,
Hungary,244,4,10,,,,
Iceland,15,1,0,,,,
Ireland,501,5,9,,,,
Italy,571,12,25,,,,
Kazakhstan,32,0,1,,,,
Kyrgyz Republic,18,0,0,,,,
Latvia,6,0,0,,,,
Liechtenstein,0,0,0,,,,
Lithuania,15,1,0,,,,
Luxembourg,5,0,0,,,,
"Macedonia, FYR",8,0,0,,,,
Malta,2,0,0,,,,
Moldova,15,0,0,,,,
Monaco,0,0,0,,,,
Netherlands,1013,10,60,,,,
Norway,359,3,13,,,,
Poland,318,3,20,,,,
Portugal,110,3,5,,,,
Romania,59,0,1,,,,
Russian Federation,1649,25,16,,,,
San Marino,1,0,0,,,,
Serbia and Montenegro,17,0,0,,,,
Slovak Republic,94,1,1,,,,
Slovenia,93,0,1,,,,
Spain,643,6,32,,,,
Sweden,739,15,39,,,,
Switzerland,197,7,14,,,,
Tajikistan,1,0,0,,,,
Turkey,298,2,9,,,,
Turkmenistan,5,0,0,,,,
Ukraine,73,0,2,,,,
United Kingdom,6567,102,539,,,,
Uzbekistan,14,0,0,,,,
Anguilla,0,0,0,,,,
Antigua and Barbuda,0,0,0,,,,
Argentina,486,9,4,,,,
Aruba,2,0,0,,,,
"Bahamas, The",1,0,0,,,,
Barbados,19,0,0,,,,
Belize,6,0,0,,,,
Bermuda,1,0,0,,,,
Bolivia,75,2,2,,,,
Brazil,506,10,8,,,,
Cayman Islands,1,0,0,,,,
Chile,228,10,7,,,,
Colombia,134,8,3,,,,
Costa Rica,68,0,0,,,,
Cuba,45,0,0,,,,
Dominica,0,0,0,,,,
